WARNING 2022-09-29 14:13:19 dashboard Accesed log dashboard!
WARNING 2022-09-29 14:13:26 dashboard Accesed log dashboard!
INFO 2022-09-29 14:15:59 __call__ {'remote_address': '127.0.0.1', 'server_hostname': 'Mukul', 'request_method': 'GET', 'request_path': '/logs/debug/2022-09-29.log', 'run_time': 0.015601158142089844}
INFO 2022-09-29 14:16:00 __call__ {'remote_address': '127.0.0.1', 'server_hostname': 'Mukul', 'request_method': 'GET', 'request_path': '/favicon.ico', 'run_time': 0.023000478744506836}
INFO 2022-09-29 14:16:02 __call__ {'remote_address': '127.0.0.1', 'server_hostname': 'Mukul', 'request_method': 'GET', 'request_path': '/logs/', 'run_time': 0.010000228881835938}
INFO 2022-09-29 14:16:02 __call__ {'remote_address': '127.0.0.1', 'server_hostname': 'Mukul', 'request_method': 'GET', 'request_path': '/favicon.ico', 'run_time': 0.012002706527709961}
INFO 2022-09-29 14:17:05 __call__ {'remote_address': '127.0.0.1', 'server_hostname': 'Mukul', 'request_method': 'GET', 'request_path': '/logs/', 'run_time': 0.0}
INFO 2022-09-29 14:17:06 __call__ {'remote_address': '127.0.0.1', 'server_hostname': 'Mukul', 'request_method': 'GET', 'request_path': '/favicon.ico', 'run_time': 0.013997554779052734}
INFO 2022-09-29 14:41:41 __call__ {'remote_address': '127.0.0.1', 'server_hostname': 'Mukul', 'request_method': 'GET', 'request_path': '/logs/', 'run_time': 0.04689383506774902}
INFO 2022-09-29 14:41:42 __call__ {'remote_address': '127.0.0.1', 'server_hostname': 'Mukul', 'request_method': 'GET', 'request_path': '/favicon.ico', 'run_time': 0.027998924255371094}
INFO 2022-09-29 14:41:48 __call__ {'remote_address': '127.0.0.1', 'server_hostname': 'Mukul', 'request_method': 'GET', 'request_path': '/logs/debug/2022-09-29.log', 'run_time': 0.01562356948852539}
INFO 2022-09-29 14:41:58 __call__ {'remote_address': '127.0.0.1', 'server_hostname': 'Mukul', 'request_method': 'GET', 'request_path': '/logs/', 'run_time': 0.0}
INFO 2022-09-29 14:43:55 __call__ {'remote_address': '127.0.0.1', 'server_hostname': 'Mukul', 'request_method': 'POST', 'request_path': '/api/token/', 'request_body': {'username': 'mukul', 'password': 12345}, 'response_body': {'refresh': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ0b2tlbl90eXBlIjoicmVmcmVzaCIsImV4cCI6MTY2NDUyNzQzNSwiaWF0IjoxNjY0NDQxMDM1LCJqdGkiOiJkNDI4MzQyNzY0OTU0N2Y5OTk0MDJkOWMwMjdjMmNkZiIsInVzZXJfaWQiOjF9.brKFeOc-s3NZdTZosUNKtgxTrcZ_EHuJ-TVnz67yCps', 'access': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ0b2tlbl90eXBlIjoiYWNjZXNzIiwiZXhwIjoxNjY0NDQxMzM1LCJpYXQiOjE2NjQ0NDEwMzUsImp0aSI6ImFjNzY3MTQwNmU1MDQ1MmM4MWIxMGI3NDFjY2EyYmU5IiwidXNlcl9pZCI6MX0.t_2lleTD_wvLNLZ_1H24jZWzPOaO3rMtc5FAIykJI10'}, 'run_time': 0.9805548191070557}
INFO 2022-09-29 14:44:06 __call__ {'remote_address': '127.0.0.1', 'server_hostname': 'Mukul', 'request_method': 'GET', 'request_path': '/logs/debug/2022-09-29.log', 'run_time': 0.0020651817321777344}
INFO 2022-09-29 14:44:37 __call__ {'remote_address': '127.0.0.1', 'server_hostname': 'Mukul', 'request_method': 'GET', 'request_path': '/logs/', 'run_time': 0.015624046325683594}
INFO 2022-09-29 14:46:10 __call__ {'remote_address': '127.0.0.1', 'server_hostname': 'Mukul', 'request_method': 'GET', 'request_path': '/api/books/', 'request_body': {}, 'response_body': [{'id': 1, 'title': 'The Eifel Tower', 'author': 'Mukul', 'description': 'nice book', 'price': 199.99}, {'id': 2, 'title': 'The Dark Night', 'author': 'Nur Mohsin', 'description': 'Horror story', 'price': 199.99}, {'id': 6, 'title': 'Marvelous Six', 'author': 'Khalid Hassan', 'description': 'Comic story', 'price': 99.99}, {'id': 7, 'title': 'The MoonKnight', 'author': 'Khalid Hassan', 'description': 'Marvel Comic story', 'price': 199.99}], 'run_time': 0.0049991607666015625}
INFO 2022-09-29 14:46:17 __call__ {'remote_address': '127.0.0.1', 'server_hostname': 'Mukul', 'request_method': 'GET', 'request_path': '/logs/debug/2022-09-29.log', 'run_time': 0.015633344650268555}
INFO 2022-09-29 14:46:52 __call__ {'remote_address': '127.0.0.1', 'server_hostname': 'Mukul', 'request_method': 'GET', 'request_path': '/logs/', 'run_time': 0.0}
INFO 2022-09-29 14:50:36 __call__ {'remote_address': '127.0.0.1', 'server_hostname': 'Mukul', 'request_method': 'GET', 'request_path': '/logs/', 'run_time': 0.03124856948852539}
INFO 2022-09-29 14:51:19 __call__ {'remote_address': '127.0.0.1', 'server_hostname': 'Mukul', 'request_method': 'GET', 'request_path': '/logs/', 'run_time': 0.03127145767211914}
INFO 2022-09-29 14:51:56 __call__ {'remote_address': '127.0.0.1', 'server_hostname': 'Mukul', 'request_method': 'GET', 'request_path': '/logs/', 'run_time': 0.022155046463012695}
INFO 2022-09-29 14:51:58 __call__ {'remote_address': '127.0.0.1', 'server_hostname': 'Mukul', 'request_method': 'GET', 'request_path': '/logs/debug/2022-09-29.log', 'run_time': 0.0}
INFO 2022-09-29 14:52:42 __call__ {'remote_address': '127.0.0.1', 'server_hostname': 'Mukul', 'request_method': 'GET', 'request_path': '/logs/', 'run_time': 0.015661001205444336}
INFO 2022-09-29 14:55:29 __call__ {'remote_address': '127.0.0.1', 'server_hostname': 'Mukul', 'request_method': 'GET', 'request_path': '/logs/debug/2022-09-29.log', 'run_time': 0.015625}
INFO 2022-09-29 15:22:17 __call__ {'remote_address': '127.0.0.1', 'server_hostname': 'Mukul', 'request_method': 'GET', 'request_path': '/logs/', 'run_time': 0.0156252384185791}
